"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses"
"04/01/2018 11:01:56:979 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5"
"green_bus_ratio","1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,,"1",,,,,,,,
"red_bus_ratio","10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,,"10",,,,,,,,
"fixed_bus_size","150",,,,,,,,,"150",,,,,,,,,"150",,,,,,,,,"150",,,,,,,,,"150",,,,,,,,
"yellow_bus_ratio","1",,,,,,,,,"1.5",,,,,,,,,"2",,,,,,,,,"2.5",,,,,,,,,"3",,,,,,,,
"[reporter]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"[final]","52.08436421173763","59.84229474471666","184.9765037593985","945785","336287","65","1","19","45","39.642587078784445","43.971900130914534","264.98908296943233","956941","185967","73","51","18","4","39.298330653551496","44.03008696465308","278.4917355371901","1032248","173996","78","57","17","4","41.08060667627395","45.61258649710118","295.7718120805369","1065144","155012","86","65","16","5","39.257951946428996","43.01019263138208","300","1064254","136418","91","69","15","7"
"[min]","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"[max]","86.16666666666667","94.75675675675676","405","945785","336287","65","37","22","45","77.93243243243244","77.93243243243244","272","956941","185967","73","51","20","6","77.47297297297297","77.47297297297297","357","1032248","173996","78","57","22","6","78.91891891891892","78.91891891891892","295.7718120805369","1065144","155012","86","65","22","8","98.52702702702703","98.52702702702703","340","1064254","136418","91","69","24","8"
"[mean]","55.333908978409994","56.3508850179177","106.29822154747437","601713.7439278279","115161.6426092991","44.8619014573213","9.063150589868147","14.448993754337266","21.30464954892436","47.67161117270391","47.69541478629648","98.4856944075894","605178.1582234559","66493.7411519778","50.62734212352533","32.72727272727273","13.957668285912561","3.8917418459403192","47.47422797073604","47.65598835504482","105.86371673187212","640604.0756419153","62655.42054129077","53.31228313671062","36.10617626648161","13.238029146426094","3.913948646773074","49.510911661158865","49.625928067168616","99.94268962406255","672780.039555864","56241.5732130465","59.07772380291464","41.62734212352533","13.15614156835531","4.234559333795975","51.08366887870118","52.00866280975025","104.01583344247184","667412.5281054823","50275.84455239417","61.91533657182512","43.78903539208883","13.517002081887577","4.546148507980569"
