"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 09:52:43:337 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"1","0.5","10","150","1","0","0","0","0","0","0","0","0","0","0"
"3","0.5","10","150","2","0","0","0","0","0","0","0","0","0","0"
"2","0.5","10","150","1.5","0","0","0","0","0","0","0","0","0","0"
"1","0.5","10","150","1","1","0","0","1","6000","0","1","0","0","0"
"1","0.5","10","150","1","2","0","1","2","12001","1","2","0","1","0"
"3","0.5","10","150","2","1","0","0","1","6000","0","1","0","0","0"
"2","0.5","10","150","1.5","1","0","0","1","6000","0","1","0","0","0"
"3","0.5","10","150","2","2","0","1","2","12001","1","2","0","1","0"
"1","0.5","10","150","1","3","0","2","3","24003","7","4","0","2","0"
"2","0.5","10","150","1.5","2","0","1","2","12001","1","2","0","1","0"
"1","0.5","10","150","1","4","0","3","4","48007","34","8","0","4","0"
"3","0.5","10","150","2","3","0","2","3","24003","7","4","0","2","0"
"2","0.5","10","150","1.5","3","0","2","3","24003","7","4","0","2","0"
"3","0.5","10","150","2","4","0","3","4","48007","34","8","0","4","0"
"1","0.5","10","150","1","5","0","4","5","80014","73","10","0","7","1"
"2","0.5","10","150","1.5","4","0","3","4","48007","34","8","0","4","0"
"3","0.5","10","150","2","5","0","4","5","80014","73","10","0","7","1"
"1","0.5","10","150","1","6","0","5","6","80021","91","10","0","7","3"
"2","0.5","10","150","1.5","5","0","4","5","80014","73","10","0","7","1"
"3","0.5","10","150","2","6","0","5","6","80021","91","10","0","7","3"
"1","0.5","10","150","1","7","0","6","7","80028","91","10","0","7","3"
"2","0.5","10","150","1.5","6","0","5","6","80021","91","10","0","7","3"
"1","0.5","10","150","1","8","0","7","8","80035","91","10","0","7","3"
"3","0.5","10","150","2","7","0","6","7","92029.5","111","11","0","7","3"
"2","0.5","10","150","1.5","7","0","6","7","80028","91","10","0","7","3"
"3","0.5","10","150","2","8","0","7","8","92038","121","11","1","7","3"
"1","0.5","10","150","1","9","0","8","9","92043.5","112","11","0","7","3"
"2","0.5","10","150","1.5","8","0","7","8","80035","91","10","0","7","3"
"3","0.5","10","150","2","9","0","8","9","98047.5","144","12","1","7","3"
"1","0.5","10","150","1","10","0","9","10","92052","131","11","1","7","3"
"2","0.5","10","150","1.5","9","0","8","9","92043.5","112","11","0","7","3"
"1","0.5","10","150","1","11","0","10","11","92060.5","137","11","1","7","3"
"3","0.5","10","150","2","10","0","9","10","98057","170","12","2","7","3"
"2","0.5","10","150","1.5","10","0","9","10","92052","131","11","1","7","3"
"1","0.5","10","150","1","12","0","11","12","92069","138","11","1","7","3"
"3","0.5","10","150","2","11","0","10","11","98066.5","170","12","2","7","3"
"2","0.5","10","150","1.5","11","0","10","11","92060.5","137","11","1","7","3"
"1","0.5","10","150","1","13","0","12","13","98078.5","163","12","1","7","3"
"3","0.5","10","150","2","12","0","11","12","104077","195","13","2","7","3"
"2","0.5","10","150","1.5","12","0","11","12","98070","160","12","1","7","3"
"1","0.5","10","150","1","14","0","13","14","98088","175","12","2","7","3"
"3","0.5","10","150","2","13","0","12","13","104087.5","210","13","3","7","3"
"1","0.5","10","150","1","15","0","14","15","104098.5","200","13","2","7","3"
"2","0.5","10","150","1.5","13","0","12","13","98079.5","174","12","2","7","3"
"3","0.5","10","150","2","14","0","13","14","104098","211","13","3","7","3"
"1","0.5","10","150","1","16","0","10.714285714285714","11.714285714285714","104109","212","13","3","7","3"
"3","0.5","10","150","2","15","0","14","15","104108.5","212","13","3","7","3"
"2","0.5","10","150","1.5","14","0","13","14","98089","175","12","2","7","3"
"1","0.5","10","150","1","17","0","11.714285714285714","12.714285714285714","104119.5","212","13","3","7","3"
"3","0.5","10","150","2","16","0","10.714285714285714","11.714285714285714","110120","238","14","3","7","3"
"2","0.5","10","150","1.5","15","0","14","15","98098.5","176","12","2","7","3"
"1","0.5","10","150","1","18","0","12.714285714285714","13.714285714285714","110131","239","14","3","7","3"
"3","0.5","10","150","2","17","0","11.714285714285714","12.714285714285714","110131.5","251","14","4","7","3"
"2","0.5","10","150","1.5","16","0","10.714285714285714","11.714285714285714","104109","200","13","2","7","3"
"1","0.5","10","150","1","19","0","13.714285714285714","14.714285714285714","110142.5","252","14","4","7","3"
"3","0.5","10","150","2","18","0","12.714285714285714","13.714285714285714","110143","252","14","4","7","3"
"2","0.5","10","150","1.5","17","0","11.714285714285714","12.714285714285714","104119.5","212","13","3","7","3"
"3","0.5","10","150","2","19","0","13.714285714285714","14.714285714285714","116155.5","280","15","4","7","3"
"1","0.5","10","150","1","20","0","14.714285714285714","15.714285714285714","110154","287","14","4","7","3"
"2","0.5","10","150","1.5","18","0","12.714285714285714","13.714285714285714","110131","239","14","3","7","3"
"1","0.5","10","150","1","21","0","15.714285714285714","16.714285714285715","110165.5","288","14","4","7","3"
"3","0.5","10","150","2","20","0","14.714285714285714","15.714285714285714","116168","329","15","5","7","3"
"2","0.5","10","150","1.5","19","0","13.714285714285714","14.714285714285714","110142.5","252","14","4","7","3"
"1","0.5","10","150","1","22","0","16.714285714285715","17.714285714285715","116178","316","15","4","7","3"
"3","0.5","10","150","2","21","0","15.714285714285714","16.714285714285715","116180.5","330","15","5","7","3"
"2","0.5","10","150","1.5","20","0","14.714285714285714","15.714285714285714","110154","287","14","4","7","3"
"3","0.5","10","150","2","22","0","16.714285714285715","17.714285714285715","122194","360","16","5","7","3"
"1","0.5","10","150","1","23","0","17.714285714285715","18.714285714285715","116190.5","337","15","5","7","3"
"2","0.5","10","150","1.5","21","0","15.714285714285714","16.714285714285715","116166.5","316","15","4","7","3"
"3","0.5","10","150","2","23","0","17.714285714285715","18.714285714285715","122207.5","382","16","6","7","3"
"1","0.5","10","150","1","24","23","18.714285714285715","19.652173913043477","116203","337","15","5","7","3"
