"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 00:39:46:968 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"1","0.5","10","150","1","0","0","0","0","0","0","0","0","0","0"
"2","0.5","10","150","1.5","0","0","0","0","0","0","0","0","0","0"
"3","0.5","10","150","2","0","0","0","0","0","0","0","0","0","0"
"1","0.5","10","150","1","1","0","0","1","6000","0","1","0","0","0"
"2","0.5","10","150","1.5","1","0","0","1","6000","0","1","0","0","0"
"3","0.5","10","150","2","1","0","0","1","6000","0","1","0","0","0"
"1","0.5","10","150","1","2","0","1","2","12001","1","2","0","1","0"
"2","0.5","10","150","1.5","2","0","1","2","12001","1","2","0","1","0"
"3","0.5","10","150","2","2","0","1","2","12001","1","2","0","1","0"
"1","0.5","10","150","1","3","0","2","3","24003","7","4","0","2","0"
"2","0.5","10","150","1.5","3","0","2","3","24003","7","4","0","2","0"
"3","0.5","10","150","2","3","0","2","3","24003","7","4","0","2","0"
"1","0.5","10","150","1","4","0","3","4","48007","34","8","0","4","0"
"2","0.5","10","150","1.5","4","0","3","4","48007","34","8","0","4","0"
"3","0.5","10","150","2","4","0","3","4","48007","34","8","0","4","0"
"1","0.5","10","150","1","5","0","4","5","80014","73","10","0","7","1"
"2","0.5","10","150","1.5","5","0","4","5","80014","73","10","0","7","1"
"3","0.5","10","150","2","5","0","4","5","80014","73","10","0","7","1"
"1","0.5","10","150","1","6","0","5","6","80021","91","10","0","7","3"
"2","0.5","10","150","1.5","6","0","5","6","80021","91","10","0","7","3"
"3","0.5","10","150","2","6","0","5","6","80021","91","10","0","7","3"
"1","0.5","10","150","1","7","0","6","7","92029.5","111","11","0","7","3"
"2","0.5","10","150","1.5","7","0","6","7","92029.5","111","11","0","7","3"
"3","0.5","10","150","2","7","0","6","7","80028","91","10","0","7","3"
"2","0.5","10","150","1.5","8","0","7","8","92038","121","11","1","7","3"
"3","0.5","10","150","2","8","0","7","8","80035","91","10","0","7","3"
"1","0.5","10","150","1","8","0","7","8","92038","121","11","1","7","3"
"2","0.5","10","150","1.5","9","0","8","9","92046.5","122","11","1","7","3"
"3","0.5","10","150","2","9","0","8","9","80042","92","10","0","7","3"
"1","0.5","10","150","1","9","0","8","9","92046.5","122","11","1","7","3"
"3","0.5","10","150","2","10","0","9","10","92050.5","118","11","0","7","3"
"2","0.5","10","150","1.5","10","0","9","10","98056","159","12","1","7","3"
"1","0.5","10","150","1","10","0","9","10","98056","153","12","1","7","3"
