"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 2"
"04/01/2018 09:18:06:208 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"2","2","10","150","2.5","0","0","0","0","0","0","0","0","0","0"
"1","2","10","150","2","0","0","0","0","0","0","0","0","0","0"
"3","2","10","150","3","0","0","0","0","0","0","0","0","0","0"
"1","2","10","150","2","1","0","0","1","6000","0","1","0","0","0"
"2","2","10","150","2.5","1","0","0","1","6000","0","1","0","0","0"
"1","2","10","150","2","2","0","1","2","12001","1","2","0","1","0"
"3","2","10","150","3","1","0","0","1","6000","0","1","0","0","0"
"2","2","10","150","2.5","2","0","1","2","12001","1","2","0","1","0"
"1","2","10","150","2","3","0","2","3","24003","7","4","0","2","0"
"3","2","10","150","3","2","0","1","2","12001","1","2","0","1","0"
"2","2","10","150","2.5","3","0","2","3","24003","7","4","0","2","0"
"2","2","10","150","2.5","4","0","3","4","48007","34","8","0","4","0"
"3","2","10","150","3","3","0","2","3","24003","7","4","0","2","0"
"1","2","10","150","2","4","0","3","4","48007","34","8","0","4","0"
"2","2","10","150","2.5","5","0","4","5","80014","73","10","0","7","1"
"3","2","10","150","3","4","0","3","4","48007","34","8","0","4","0"
"1","2","10","150","2","5","0","4","5","80014","73","10","0","7","1"
"2","2","10","150","2.5","6","0","5","6","80021","91","10","0","7","3"
"1","2","10","150","2","6","0","5","6","80021","91","10","0","7","3"
"3","2","10","150","3","5","0","4","5","80014","73","10","0","7","1"
"2","2","10","150","2.5","7","0","6","7","92029.5","111","11","0","7","3"
"1","2","10","150","2","7","0","6","7","92029.5","111","11","0","7","3"
"3","2","10","150","3","6","0","5","6","80021","91","10","0","7","3"
"2","2","10","150","2.5","8","0","7","8","92038","121","11","1","7","3"
"3","2","10","150","3","7","0","6","7","80028","91","10","0","7","3"
"1","2","10","150","2","8","0","7","8","92038","121","11","1","7","3"
"2","2","10","150","2.5","9","0","8","9","92046.5","121","11","1","7","3"
"1","2","10","150","2","9","0","8","9","92046.5","121","11","1","7","3"
"3","2","10","150","3","8","0","7","8","80035","91","10","0","7","3"
"2","2","10","150","2.5","10","0","9","10","92055","130","11","1","7","3"
"3","2","10","150","3","9","0","8","9","80042","92","10","0","7","3"
"1","2","10","150","2","10","0","9","10","92055","130","11","1","7","3"
"2","2","10","150","2.5","11","0","10","11","92063.5","136","11","1","7","3"
"3","2","10","150","3","10","0","9","10","92050.5","118","11","0","7","3"
"1","2","10","150","2","11","0","10","11","92063.5","136","11","1","7","3"
"2","2","10","150","2.5","12","0","11","12","92072","136","11","1","7","3"
"3","2","10","150","3","11","0","10","11","92059","134","11","1","7","3"
"2","2","10","150","2.5","13","0","12","13","92080.5","139","11","1","7","3"
"1","2","10","150","2","12","0","11","12","92072","136","11","1","7","3"
"1","2","10","150","2","13","0","12","13","92080.5","140","11","1","7","3"
"3","2","10","150","3","12","0","11","12","92067.5","134","11","1","7","3"
"2","2","10","150","2.5","14","0","13","14","92089","140","11","1","7","3"
"1","2","10","150","2","14","0","13","14","92089","140","11","1","7","3"
"3","2","10","150","3","13","0","12","13","92076","137","11","1","7","3"
"2","2","10","150","2.5","15","0","14","15","92097.5","140","11","1","7","3"
"1","2","10","150","2","15","0","14","15","92097.5","140","11","1","7","3"
"3","2","10","150","3","14","0","13","14","92084.5","138","11","1","7","3"
"2","2","10","150","2.5","16","0","10.714285714285714","11.714285714285714","92106","140","11","1","7","3"
"1","2","10","150","2","16","0","10.714285714285714","11.714285714285714","92106","140","11","1","7","3"
"3","2","10","150","3","15","0","14","15","92093","138","11","1","7","3"
"2","2","10","150","2.5","17","0","11.714285714285714","12.714285714285714","92114.5","140","11","1","7","3"
"1","2","10","150","2","17","0","11.714285714285714","12.714285714285714","92114.5","140","11","1","7","3"
"3","2","10","150","3","16","0","10.714285714285714","11.714285714285714","92101.5","138","11","1","7","3"
"2","2","10","150","2.5","18","0","12.714285714285714","13.714285714285714","92123","140","11","1","7","3"
"1","2","10","150","2","18","0","12.714285714285714","13.714285714285714","92123","140","11","1","7","3"
"3","2","10","150","3","17","0","11.714285714285714","12.714285714285714","92110","138","11","1","7","3"
"2","2","10","150","2.5","19","0","13.714285714285714","14.714285714285714","92131.5","140","11","1","7","3"
"1","2","10","150","2","19","0","13.714285714285714","14.714285714285714","92131.5","140","11","1","7","3"
"3","2","10","150","3","18","0","12.714285714285714","13.714285714285714","92118.5","138","11","1","7","3"
"2","2","10","150","2.5","20","0","14.714285714285714","15.714285714285714","92140","161","11","1","7","3"
"1","2","10","150","2","20","0","14.714285714285714","15.714285714285714","92140","175","11","1","7","3"
"3","2","10","150","3","19","0","13.714285714285714","14.714285714285714","92127","138","11","1","7","3"
"2","2","10","150","2.5","21","0","15.714285714285714","16.714285714285715","92148.5","175","11","1","7","3"
"1","2","10","150","2","21","0","15.714285714285714","16.714285714285715","92148.5","175","11","1","7","3"
"2","2","10","150","2.5","22","0","16.714285714285715","17.714285714285715","92157","175","11","1","7","3"
"3","2","10","150","3","20","0","14.714285714285714","15.714285714285714","92135.5","173","11","1","7","3"
"1","2","10","150","2","22","0","16.714285714285715","17.714285714285715","92157","175","11","1","7","3"
"3","2","10","150","3","21","0","15.714285714285714","16.714285714285715","92144","173","11","1","7","3"
"2","2","10","150","2.5","23","0","17.714285714285715","18.714285714285715","92165.5","182","11","1","7","3"
"1","2","10","150","2","23","0","17.714285714285715","18.714285714285715","92165.5","182","11","1","7","3"
"2","2","10","150","2.5","24","23","18.714285714285715","19.652173913043477","92174","182","11","1","7","3"
"3","2","10","150","3","22","0","16.714285714285715","17.714285714285715","92152.5","173","11","1","7","3"
"1","2","10","150","2","24","23","18.714285714285715","19.652173913043477","92174","182","11","1","7","3"
"2","2","10","150","2.5","25","23","19.7","20.652173913043477","92182.5","182","11","1","7","3"
"3","2","10","150","3","23","0","17.714285714285715","18.714285714285715","92161","180","11","1","7","3"
"1","2","10","150","2","25","23","19.7","20.652173913043477","92182.5","182","11","1","7","3"
"2","2","10","150","2.5","26","23","20.685714285714287","21.652173913043477","92191","182","11","1","7","3"
"1","2","10","150","2","26","23","20.685714285714287","21.652173913043477","92191","182","11","1","7","3"
"3","2","10","150","3","24","23","18.714285714285715","19.652173913043477","92169.5","180","11","1","7","3"
"2","2","10","150","2.5","27","23","21.67142857142857","22.652173913043477","92199.5","182","11","1","7","3"
"1","2","10","150","2","27","23","21.67142857142857","22.652173913043477","92199.5","182","11","1","7","3"
"3","2","10","150","3","25","23","19.7","20.652173913043477","92178","180","11","1","7","3"
"2","2","10","150","2.5","28","23","22.65714285714286","23.652173913043477","92208","182","11","1","7","3"
"1","2","10","150","2","28","23","22.65714285714286","23.652173913043477","92208","182","11","1","7","3"
"3","2","10","150","3","26","23","20.685714285714287","21.652173913043477","92186.5","180","11","1","7","3"
"2","2","10","150","2.5","29","23","23.642857142857142","24.652173913043477","92216.5","182","11","1","7","3"
"1","2","10","150","2","29","23","23.642857142857142","24.652173913043477","92216.5","182","11","1","7","3"
"3","2","10","150","3","27","23","21.67142857142857","22.652173913043477","92195","180","11","1","7","3"
"2","2","10","150","2.5","30","23","24.62857142857143","25.652173913043477","92225","222","11","1","7","3"
"1","2","10","150","2","30","23","24.62857142857143","25.652173913043477","92225","209","11","1","7","3"
"3","2","10","150","3","28","23","22.65714285714286","23.652173913043477","92203.5","180","11","1","7","3"
"2","2","10","150","2.5","31","23","24.22972972972973","25.246575342465754","92233.5","222","11","1","7","3"
"2","2","10","150","2.5","32","27","25.216216216216218","26.166666666666668","92242","222","11","1","7","3"
"3","2","10","150","3","29","23","23.642857142857142","24.652173913043477","92212","180","11","1","7","3"
"1","2","10","150","2","31","23","24.22972972972973","25.246575342465754","92233.5","227","11","1","7","3"
"2","2","10","150","2.5","33","27","26.18918918918919","27.166666666666668","92250.5","230","11","1","7","3"
"3","2","10","150","3","30","23","24.62857142857143","25.652173913043477","92220.5","207","11","1","7","3"
"1","2","10","150","2","32","27","25.216216216216218","26.166666666666668","92242","227","11","1","7","3"
"2","2","10","150","2.5","34","27","27.16216216216216","28.166666666666668","92259","231","11","1","7","3"
"3","2","10","150","3","31","23","24.22972972972973","25.246575342465754","92229","225","11","1","7","3"
"1","2","10","150","2","33","27","26.18918918918919","27.166666666666668","92250.5","236","11","1","7","3"
"2","2","10","150","2.5","35","27","28.135135135135137","29.166666666666668","92267.5","231","11","1","7","3"
"3","2","10","150","3","32","27","25.216216216216218","26.166666666666668","92237.5","225","11","1","7","3"
"2","2","10","150","2.5","36","29.666666666666668","29.10810810810811","30.08450704225352","92276","231","11","1","7","3"
"1","2","10","150","2","34","27","27.16216216216216","28.166666666666668","92259","236","11","1","7","3"
"3","2","10","150","3","33","27","26.18918918918919","27.166666666666668","92246","234","11","1","7","3"
"2","2","10","150","2.5","37","29.666666666666668","30.06756756756757","31.08450704225352","92284.5","231","11","1","7","3"
"1","2","10","150","2","35","27","28.135135135135137","29.166666666666668","92267.5","236","11","1","7","3"
"3","2","10","150","3","34","27","27.16216216216216","28.166666666666668","92254.5","234","11","1","7","3"
"2","2","10","150","2.5","38","31.5","31.027027027027028","32","92293","231","11","1","7","3"
"1","2","10","150","2","36","29.666666666666668","29.10810810810811","30.08450704225352","92276","236","11","1","7","3"
"2","2","10","150","2.5","39","32.8","31.972972972972972","32.91304347826087","92301.5","231","11","1","7","3"
"3","2","10","150","3","35","27","28.135135135135137","29.166666666666668","92263","234","11","1","7","3"
"1","2","10","150","2","37","29.666666666666668","30.06756756756757","31.08450704225352","92284.5","236","11","1","7","3"
"2","2","10","150","2.5","40","32.8","32.9054054054054","33.91304347826087","92310","249","11","1","7","3"
"3","2","10","150","3","36","29.666666666666668","29.10810810810811","30.08450704225352","92271.5","234","11","1","7","3"
"1","2","10","150","2","38","31.5","31.027027027027028","32","92293","236","11","1","7","3"
"3","2","10","150","3","37","29.666666666666668","30.06756756756757","31.08450704225352","92280","234","11","1","7","3"
"2","2","10","150","2.5","41","32.8","33.83783783783784","34.91304347826087","92318.5","261","11","1","7","3"
"1","2","10","150","2","39","32.8","31.972972972972972","32.91304347826087","92301.5","236","11","1","7","3"
"3","2","10","150","3","38","31.5","31.027027027027028","32","92288.5","234","11","1","7","3"
"2","2","10","150","2.5","42","32.8","34.770270270270274","35.91304347826087","92327","261","11","1","7","3"
"3","2","10","150","3","39","32.8","31.972972972972972","32.91304347826087","92297","234","11","1","7","3"
"1","2","10","150","2","40","32.8","32.9054054054054","33.91304347826087","92310","257","11","1","7","3"
"2","2","10","150","2.5","43","32.8","35.7027027027027","36.91304347826087","92335.5","267","11","1","7","3"
"3","2","10","150","3","40","32.8","32.9054054054054","33.91304347826087","92305.5","255","11","1","7","3"
"1","2","10","150","2","41","32.8","33.83783783783784","34.91304347826087","92318.5","271","11","1","7","3"
"2","2","10","150","2.5","44","32.8","36.63513513513514","37.91304347826087","92344","269","11","1","7","3"
"1","2","10","150","2","42","32.8","34.770270270270274","35.91304347826087","92327","271","11","1","7","3"
"2","2","10","150","2.5","45","35.125","37.567567567567565","38.86363636363637","92352.5","269","11","1","7","3"
"3","2","10","150","3","41","32.8","33.83783783783784","34.91304347826087","92314","269","11","1","7","3"
"1","2","10","150","2","43","32.8","35.7027027027027","36.91304347826087","92335.5","278","11","1","7","3"
"2","2","10","150","2.5","46","35.125","38.45945945945946","39.86363636363637","92361","269","11","1","7","3"
"3","2","10","150","3","42","32.8","34.770270270270274","35.91304347826087","92322.5","269","11","1","7","3"
"2","2","10","150","2.5","47","35.125","39.351351351351354","40.86363636363637","92369.5","269","11","1","7","3"
"1","2","10","150","2","44","32.8","36.63513513513514","37.91304347826087","92344","278","11","1","7","3"
