"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"yellow flexbuses at 2.0 with varying fixed bus sizes"
"03/31/2018 20:44:19:382 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"2","2","10","60","2","0","0","0","0","0","0","0","0","0","0"
"3","2","10","150","2","0","0","0","0","0","0","0","0","0","0"
"1","2","10","12","2","0","0","0","0","0","0","0","0","0","0"
"2","2","10","60","2","1","0","0","1","6000","0","1","0","0","0"
"3","2","10","150","2","1","0","0","1","6000","0","1","0","0","0"
"1","2","10","12","2","1","0","0","1","6000","0","1","0","0","0"
"2","2","10","60","2","2","0","1","2","12001","1","2","0","1","0"
"3","2","10","150","2","2","0","1","2","12001","1","2","0","1","0"
"1","2","10","12","2","2","0","1","2","12001","1","2","0","1","0"
"2","2","10","60","2","3","0","2","3","24003","7","4","0","2","0"
"3","2","10","150","2","3","0","2","3","24003","7","4","0","2","0"
"2","2","10","60","2","4","0","3","4","48007","34","8","0","4","0"
"1","2","10","12","2","3","0","2","3","24003","7","4","0","2","0"
"3","2","10","150","2","4","0","3","4","48007","34","8","0","4","0"
"2","2","10","60","2","5","0","4","5","80014","73","10","0","7","1"
"1","2","10","12","2","4","0","3","4","48007","34","8","0","4","0"
"3","2","10","150","2","5","0","4","5","80014","73","10","0","7","1"
"2","2","10","60","2","6","0","5","6","80021","90","10","0","7","3"
"1","2","10","12","2","5","0","4","5","80014","73","10","0","7","1"
"3","2","10","150","2","6","0","5","6","80021","90","10","0","7","3"
"2","2","10","60","2","7","0","6","7","80028","90","10","0","7","3"
"1","2","10","12","2","6","0","5","6","80021","91","10","0","7","3"
"3","2","10","150","2","7","0","6","7","80028","90","10","0","7","3"
"2","2","10","60","2","8","0","7","8","80035","90","10","0","7","3"
"1","2","10","12","2","7","0","6","7","80028","91","10","0","7","3"
"2","2","10","60","2","9","0","8","9","80042","90","10","0","7","3"
"3","2","10","150","2","8","0","7","8","80035","90","10","0","7","3"
"1","2","10","12","2","8","0","7","8","80035","91","10","0","7","3"
"2","2","10","60","2","10","0","9","10","80049","96","10","0","7","3"
"3","2","10","150","2","9","0","8","9","80042","90","10","0","7","3"
"1","2","10","12","2","9","0","8","9","100044","112","11","0","7","3"
"2","2","10","60","2","11","0","10","11","80056","102","10","0","7","3"
"3","2","10","150","2","10","0","9","10","80049","102","10","0","7","3"
"1","2","10","12","2","10","0","9","10","100053","131","11","1","7","3"
"2","2","10","60","2","12","0","11","12","80063","102","10","0","7","3"
"3","2","10","150","2","11","0","10","11","80056","102","10","0","7","3"
