"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 2"
"03/31/2018 23:04:24:320 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"3","2","10","150","3","0","0","0","0","0","0","0","0","0","0"
"1","2","10","150","2","0","0","0","0","0","0","0","0","0","0"
"2","2","10","150","2.5","0","0","0","0","0","0","0","0","0","0"
"3","2","10","150","3","1","0","0","1","6000","0","1","0","0","0"
"2","2","10","150","2.5","1","0","0","1","6000","0","1","0","0","0"
"1","2","10","150","2","1","0","0","1","6000","0","1","0","0","0"
"3","2","10","150","3","2","0","1","2","12001","1","2","0","1","0"
"2","2","10","150","2.5","2","0","1","2","12001","1","2","0","1","0"
"1","2","10","150","2","2","0","1","2","12001","1","2","0","1","0"
"3","2","10","150","3","3","0","2","3","24003","7","4","0","2","0"
"2","2","10","150","2.5","3","0","2","3","24003","7","4","0","2","0"
"3","2","10","150","3","4","0","3","4","48007","34","8","0","4","0"
"1","2","10","150","2","3","0","2","3","24003","7","4","0","2","0"
"2","2","10","150","2.5","4","0","3","4","48007","34","8","0","4","0"
"3","2","10","150","3","5","0","4","5","80014","73","10","0","7","1"
"1","2","10","150","2","4","0","3","4","48007","34","8","0","4","0"
"3","2","10","150","3","6","0","5","6","80021","91","10","0","7","3"
"2","2","10","150","2.5","5","0","4","5","80014","73","10","0","7","1"
"1","2","10","150","2","5","0","4","5","80014","73","10","0","7","1"
"3","2","10","150","3","7","0","6","7","100030","111","11","0","7","3"
"2","2","10","150","2.5","6","0","5","6","80021","91","10","0","7","3"
"1","2","10","150","2","6","0","5","6","80021","91","10","0","7","3"
"3","2","10","150","3","8","0","7","8","100039","121","11","1","7","3"
"2","2","10","150","2.5","7","0","6","7","80028","91","10","0","7","3"
"3","2","10","150","3","9","0","8","9","100048","121","11","1","7","3"
"1","2","10","150","2","7","0","6","7","80028","91","10","0","7","3"
"2","2","10","150","2.5","8","0","7","8","80035","91","10","0","7","3"
"1","2","10","150","2","8","0","7","8","80035","91","10","0","7","3"
"3","2","10","150","3","10","0","9","10","100057","130","11","1","7","3"
"2","2","10","150","2.5","9","0","8","9","100044","112","11","0","7","3"
"3","2","10","150","3","11","0","10","11","100066","136","11","1","7","3"
"1","2","10","150","2","9","0","8","9","92043.5","112","11","0","7","3"
"2","2","10","150","2.5","10","0","9","10","100053","131","11","1","7","3"
"3","2","10","150","3","12","0","11","12","100075","136","11","1","7","3"
"1","2","10","150","2","10","0","9","10","92052","131","11","1","7","3"
"2","2","10","150","2.5","11","0","10","11","100062","137","11","1","7","3"
"3","2","10","150","3","13","0","12","13","100084","140","11","1","7","3"
"1","2","10","150","2","11","0","10","11","92060.5","137","11","1","7","3"
"2","2","10","150","2.5","12","0","11","12","100071","137","11","1","7","3"
"3","2","10","150","3","14","0","13","14","100093","140","11","1","7","3"
"1","2","10","150","2","12","0","11","12","92069","137","11","1","7","3"
"3","2","10","150","3","15","0","14","15","100102","140","11","1","7","3"
"2","2","10","150","2.5","13","0","12","13","100080","141","11","1","7","3"
"1","2","10","150","2","13","0","12","13","92077.5","140","11","1","7","3"
"3","2","10","150","3","16","0","10.714285714285714","11.714285714285714","100111","140","11","1","7","3"
"2","2","10","150","2.5","14","0","13","14","100089","141","11","1","7","3"
"3","2","10","150","3","17","0","11.714285714285714","12.714285714285714","100120","140","11","1","7","3"
"1","2","10","150","2","14","0","13","14","92086","141","11","1","7","3"
"2","2","10","150","2.5","15","0","14","15","100098","141","11","1","7","3"
"3","2","10","150","3","18","0","12.714285714285714","13.714285714285714","100129","140","11","1","7","3"
"1","2","10","150","2","15","0","14","15","92094.5","141","11","1","7","3"
"2","2","10","150","2.5","16","0","10.714285714285714","11.714285714285714","100107","141","11","1","7","3"
"3","2","10","150","3","19","0","13.714285714285714","14.714285714285714","100138","140","11","1","7","3"
"2","2","10","150","2.5","17","0","11.714285714285714","12.714285714285714","100116","141","11","1","7","3"
"1","2","10","150","2","16","0","10.714285714285714","11.714285714285714","92103","141","11","1","7","3"
"2","2","10","150","2.5","18","0","12.714285714285714","13.714285714285714","100125","141","11","1","7","3"
"1","2","10","150","2","17","0","11.714285714285714","12.714285714285714","92111.5","141","11","1","7","3"
"3","2","10","150","3","20","0","14.714285714285714","15.714285714285714","100147","175","11","1","7","3"
"2","2","10","150","2.5","19","0","13.714285714285714","14.714285714285714","100134","141","11","1","7","3"
"1","2","10","150","2","18","0","12.714285714285714","13.714285714285714","92120","141","11","1","7","3"
"3","2","10","150","3","21","0","15.714285714285714","16.714285714285715","100156","175","11","1","7","3"
"2","2","10","150","2.5","20","0","14.714285714285714","15.714285714285714","100143","162","11","1","7","3"
"1","2","10","150","2","19","0","13.714285714285714","14.714285714285714","92128.5","141","11","1","7","3"
"3","2","10","150","3","22","0","16.714285714285715","17.714285714285715","100165","175","11","1","7","3"
"3","2","10","150","3","23","0","17.714285714285715","18.714285714285715","100174","182","11","1","7","3"
"2","2","10","150","2.5","21","0","15.714285714285714","16.714285714285715","100152","176","11","1","7","3"
"1","2","10","150","2","20","0","14.714285714285714","15.714285714285714","92137","176","11","1","7","3"
"2","2","10","150","2.5","22","0","16.714285714285715","17.714285714285715","100161","176","11","1","7","3"
"3","2","10","150","3","24","23","18.714285714285715","19.652173913043477","100183","182","11","1","7","3"
"1","2","10","150","2","21","0","15.714285714285714","16.714285714285715","92145.5","176","11","1","7","3"
"3","2","10","150","3","25","23","19.7","20.652173913043477","100192","182","11","1","7","3"
"2","2","10","150","2.5","23","0","17.714285714285715","18.714285714285715","100170","183","11","1","7","3"
"1","2","10","150","2","22","0","16.714285714285715","17.714285714285715","92154","176","11","1","7","3"
"3","2","10","150","3","26","23","20.685714285714287","21.652173913043477","100201","182","11","1","7","3"
"2","2","10","150","2.5","24","23","18.714285714285715","19.652173913043477","100179","183","11","1","7","3"
